일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2010/01/04,69762,778,1.13,68108,69762,67719,1161328,79669065500,7984208350500,111355765
2010/01/05,68789,-973,-1.39,69762,70054,68108,878981,60582156800,7872852585500,111355765
2010/01/06,69276,486,0.71,68303,69762,68205,945239,65162721600,7928530468000,111355765
2010/01/07,67622,-1654,-2.39,69081,69178,67622,804670,54911813700,7739225667500,111355765
2010/01/08,67719,97,0.14,68205,68789,66746,617324,41616831800,7750361244000,111355765
2010/01/11,70541,2822,4.17,68108,70541,67719,1698890,118399891200,8073292962500,111355765
2010/01/12,70930,389,0.55,71027,71222,69665,1123075,79273341000,8117835268500,111355765
2010/01/13,68789,-2141,-3.02,70249,70930,68400,753170,52346228700,7872852585500,111355765
2010/01/14,69957,1168,1.70,69081,69957,68789,747300,51886840400,8006479503500,111355765
2010/01/15,68789,-1168,-1.67,70541,70930,68205,1081670,74851308100,7872852585500,111355765
2010/01/18,70054,1265,1.84,69081,70541,68205,836494,57919623300,8017615080000,111355765
2010/01/19,71514,1459,2.08,70735,72389,70151,1669148,119248680200,8184648727500,111355765
2010/01/20,71708,195,0.27,72000,72195,70638,1241235,88919046900,8206919880500,111355765
2010/01/21,71903,195,0.27,71124,72486,70151,862942,61632920530,8229191033500,111355765
2010/01/22,69957,-1946,-2.71,70735,71124,69568,896245,62819473500,8006479503500,111355765
2010/01/25,66357,-3600,-5.15,68595,69470,65578,1354845,91328633600,7594463173000,111355765
2010/01/26,64508,-1849,-2.79,66357,66746,64119,1000390,65168596400,7382887219500,111355765
2010/01/27,62562,-1946,-3.02,64897,65870,62465,1407455,89572158400,7160175689500,111355765
2010/01/28,63827,1265,2.02,62854,64411,61200,794112,50382406900,7304938184000,111355765
2010/01/29,62659,-1168,-1.83,62465,63827,61492,834376,52003673300,7171311266000,111355765
2010/02/01,60519,-2141,-3.42,62465,62951,60519,1057723,64532708200,6926328583000,111355765
2010/02/02,58865,-1654,-2.73,61297,61395,58865,1652814,98811625500,6737023782500,111355765
2010/02/03,61005,2141,3.64,59838,61200,59351,1235928,74619636700,6982006465500,111355765
2010/02/04,60616,-389,-0.64,60519,61200,59838,497170,30044967300,6937464159500,111355765
2010/02/05,57697,-2919,-4.82,57503,58670,57405,981263,56874307500,6603396864500,111355765
2010/02/08,55751,-1946,-3.37,58086,58281,55654,815197,46243208600,6380685334500,111355765
2010/02/09,57892,2141,3.84,55654,58086,55654,728752,41553883600,6625668017500,111355765
2010/02/10,57600,-292,-0.50,58573,58670,57114,554595,31984116200,6592261288000,111355765
2010/02/11,58184,584,1.01,57697,58670,57211,830808,48175990800,6659074747000,111355765
2010/02/12,60130,1946,3.34,58476,60324,57989,995336,59070738100,6881786277000,111355765
2010/02/16,60324,195,0.32,59935,60616,59643,682994,41079388900,6904057430000,111355765
2010/02/17,60422,97,0.16,61200,61297,60130,689286,41747727200,6915193006500,111355765
2010/02/18,59254,-1168,-1.93,60324,60714,59059,689422,41130870700,6781566088500,111355765
2010/02/19,57989,-1265,-2.13,58670,59351,57211,832968,48270539000,6636803594000,111355765
2010/02/22,58670,681,1.17,58670,59351,58476,522071,30680690300,6714752629500,111355765
2010/02/23,58962,292,0.50,58573,59157,58086,566530,33166567700,6748159359000,111355765
2010/02/24,58768,-195,-0.33,58573,58865,58086,439240,25719714700,6725888206000,111355765
2010/02/25,57795,-973,-1.66,58962,59157,57211,518930,30066963200,6614532441000,111355765
2010/02/26,58281,486,0.84,57697,58378,57308,361326,20958797000,6670210323500,111355765
2010/03/02,60324,2043,3.51,58768,60519,58768,868699,51899989900,6904057430000,111355765
2010/03/03,59935,-389,-0.65,60130,61103,59546,811051,48915558500,6859515124000,111355765
2010/03/04,59059,-876,-1.46,60032,60324,58768,601604,35740234300,6759294935500,111355765
2010/03/05,60422,1362,2.31,59351,60519,59059,524889,31392562900,6915193006500,111355765
2010/03/08,61103,681,1.13,60811,61297,60519,1001780,61109555000,6993142042000,111355765
2010/03/09,62659,1557,2.55,61297,63243,60908,1525366,95508124100,7171311266000,111355765
2010/03/10,62757,97,0.16,63146,63632,62562,805144,50813656100,7182446842500,111355765
2010/03/11,63438,681,1.09,63341,63730,62659,922098,58362597700,7260395878000,111355765
2010/03/12,62465,-973,-1.53,62757,63243,62076,396919,24810792100,7149040113000,111355765
2010/03/15,62270,-195,-0.31,62562,62854,61784,319919,19902931100,7126768960000,111355765
2010/03/16,62076,-195,-0.31,63632,64022,62076,652899,41122582100,7104497807000,111355765
2010/03/17,62757,681,1.10,62465,63049,61881,458887,28658780500,7182446842500,111355765
2010/03/18,63535,778,1.24,62270,64605,62270,800840,51176413100,7271531454500,111355765
2010/03/19,65092,1557,2.45,64022,65189,63535,767300,49606799000,7449700678500,111355765
2010/03/22,63438,-1654,-2.54,64897,64897,63438,412456,26342201900,7260395878000,111355765
2010/03/23,66259,2822,4.45,64605,66551,64022,1106721,72831733200,7583327596500,111355765
2010/03/24,64897,-1362,-2.06,66746,66746,64022,1274746,82670204300,7427429525500,111355765
2010/03/25,62854,-2043,-3.15,64703,64703,62659,1465350,92592932900,7193582419000,111355765
2010/03/26,63341,486,0.77,63049,63632,62465,583048,36810674800,7249260301500,111355765
2010/03/29,61395,-1946,-3.07,62562,62757,61297,1150054,71133998800,7026548771500,111355765
2010/03/30,61297,-97,-0.16,62173,62368,61005,796775,49060191300,7015413195000,111355765
2010/03/31,60422,-876,-1.43,61881,62270,60324,825822,50336362400,6915193006500,111355765
2010/04/01,60130,-292,-0.48,60519,62270,60032,1094841,66443756900,6881786277000,111355765
2010/04/02,59449,-681,-1.13,60519,61005,59157,2117583,125717613500,6803837241500,111355765
2010/04/05,58573,-876,-1.47,59546,59741,57989,1433391,83715168800,6703617053000,111355765
