일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/20","12480","80","0.65","12400","12500","12380","379629","4729279310","5052472426560","404845547"
"2023/04/19","12400","10","0.08","12410","12420","12380","299671","3715385550","5020084782800","404845547"
"2023/04/18","12390","-30","-0.24","12420","12430","12370","341919","4236523890","5016036327330","404845547"
"2023/04/17","12420","0","0.00","12410","12440","12360","499951","6197258640","5028181693740","404845547"
"2023/04/14","12420","100","0.81","12340","12430","12330","413309","5126094720","5028181693740","404845547"
"2023/04/13","12320","20","0.16","12310","12350","12300","350797","4321866840","4987697139040","404845547"
"2023/04/12","12300","-30","-0.24","12370","12380","12300","550647","6777873580","4979600228100","404845547"
"2023/04/11","12330","-10","-0.08","12340","12360","12310","460413","5677101080","4991745594510","404845547"
"2023/04/10","12340","-50","-0.40","12390","12390","12300","661228","8147807500","4995794049980","404845547"
"2023/04/07","12390","-10","-0.08","12400","12410","12350","368223","4558542150","5016036327330","404845547"
"2023/04/06","12400","100","0.81","12320","12450","12320","377350","4668725340","5020084782800","404845547"
"2023/04/05","12300","-120","-0.97","12440","12500","12280","1068682","13204339170","4979600228100","404845547"
"2023/04/04","12420","-40","-0.32","12490","12490","12370","852177","10586265070","5028181693740","404845547"
"2023/04/03","12460","-40","-0.32","12490","12540","12430","401947","5021141510","5044375515620","404845547"
"2023/03/31","12500","-70","-0.56","12570","12600","12490","446133","5596352090","5060569337500","404845547"
"2023/03/30","12570","120","0.96","12450","12600","12430","460303","5766929570","5088908525790","404845547"
"2023/03/29","12450","10","0.08","12440","12520","12420","370717","4619820020","5040327060150","404845547"
"2023/03/28","12440","-30","-0.24","12450","12510","12420","429694","5351909970","5036278604680","404845547"
"2023/03/27","12470","-160","-1.27","12630","12630","12450","647622","8097599280","5048423971090","404845547"
"2023/03/24","12630","100","0.80","12540","12630","12490","444724","5588682600","5113199258610","404845547"
"2023/03/23","12530","-20","-0.16","12570","12640","12480","530170","6658749910","5072714703910","404845547"
"2023/03/22","12550","-30","-0.24","12640","12690","12540","615310","7777780000","5080811614850","404845547"
"2023/03/21","12580","40","0.32","12540","12640","12530","637946","8041585640","5092956981260","404845547"
"2023/03/20","12540","100","0.80","12520","12550","12460","331879","4160017710","5076763159380","404845547"
"2023/03/17","12440","-100","-0.80","12580","12590","12410","742299","9263115160","5036278604680","404845547"
"2023/03/16","12540","60","0.48","12480","12580","12420","491548","6149032850","5076763159380","404845547"
"2023/03/15","12480","-10","-0.08","12600","12620","12460","690443","8656699020","5052472426560","404845547"
"2023/03/14","12490","-120","-0.95","12610","12690","12450","864186","10822358030","5056520882030","404845547"
"2023/03/13","12610","180","1.45","12350","12660","12350","936858","11768230740","5105102347670","404845547"
"2023/03/10","12430","-130","-1.04","12510","12520","12310","923383","11468901100","5032230149210","404845547"
"2023/03/09","12560","-200","-1.57","12780","12800","12500","828618","10445350430","5084860070320","404845547"
"2023/03/08","12760","-110","-0.85","12710","12820","12710","852679","10880164320","5165829179720","404845547"
"2023/03/07","12870","100","0.78","12800","13000","12730","1272816","16385428630","5210362189890","404845547"
"2023/03/06","12770","130","1.03","12670","12790","12670","841114","10717606340","5169877635190","404845547"
"2023/03/03","12640","120","0.96","12520","12640","12510","926598","11681722620","5117247714080","404845547"
"2023/03/02","12520","50","0.40","12470","12550","12460","867494","10849313430","5068666248440","404845547"
"2023/02/28","12470","30","0.24","12470","12480","12420","597683","7446140900","5048423971090","404845547"
"2023/02/27","12440","-60","-0.48","12500","12510","12410","567832","7074462770","5036278604680","404845547"
"2023/02/24","12500","30","0.24","12470","12500","12420","392139","4889449280","5060569337500","404845547"
"2023/02/23","12470","80","0.65","12370","12490","12370","297349","3695297250","5048423971090","404845547"
"2023/02/22","12390","-50","-0.40","12410","12430","12360","350258","4339320050","5016036327330","404845547"
"2023/02/21","12440","10","0.08","12420","12490","12350","868660","10776094030","5036278604680","404845547"
"2023/02/20","12430","-70","-0.56","12480","12500","12390","622815","7741143400","5032230149210","404845547"
"2023/02/17","12500","0","0.00","12480","12520","12430","414620","5179122760","5060569337500","404845547"
"2023/02/16","12500","-20","-0.16","12520","12530","12490","483300","6044602500","5060569337500","404845547"
"2023/02/15","12520","-30","-0.24","12550","12570","12480","634917","7946421190","5068666248440","404845547"
"2023/02/14","12550","100","0.80","12470","12560","12400","744625","9300526570","5080811614850","404845547"
"2023/02/13","12450","30","0.24","12410","12530","12400","801494","9981850650","5040327060150","404845547"
"2023/02/10","12420","270","2.22","12150","12450","12150","1303978","16109642480","5028181693740","404845547"
"2023/02/09","12150","120","1.00","12030","12150","12030","532361","6446792020","4918873396050","404845547"
"2023/02/08","12030","20","0.17","12050","12090","12010","463766","5581362870","4870291930410","404845547"
"2023/02/07","12010","-80","-0.66","12090","12100","11990","658340","7913790150","4862195019470","404845547"
"2023/02/06","12090","-50","-0.41","12100","12160","12010","759853","9174545960","4894582663230","404845547"
"2023/02/03","12140","10","0.08","12120","12170","12020","883640","10698425790","4914824940580","404845547"
"2023/02/02","12130","120","1.00","12070","12190","12010","1111833","13480686050","4910776485110","404845547"
"2023/02/01","12010","120","1.01","11940","12030","11890","605376","7245655690","4862195019470","404845547"
"2023/01/31","11890","10","0.08","11870","11950","11840","461300","5488938210","4813613553830","404845547"
"2023/01/30","11880","40","0.34","11850","11910","11820","498918","5918560060","4809565098360","404845547"
"2023/01/27","11840","-60","-0.50","11900","11910","11790","522974","6192516360","4793371276480","404845547"
"2023/01/26","11900","-10","-0.08","11910","11950","11760","608421","7214991330","4817662009300","404845547"
"2023/01/25","11910","-40","-0.33","12020","12060","11820","909374","10877430410","4821710464770","404845547"
"2023/01/20","11950","150","1.27","11800","11950","11800","667088","7946976400","4837904286650","404845547"
"2023/01/19","11800","150","1.29","11650","11800","11650","383892","4517666700","4777177454600","404845547"
"2023/01/18","11650","0","0.00","11650","11700","11600","310473","3623041100","4716450622550","404845547"
"2023/01/17","11650","-100","-0.85","11800","11850","11600","580262","6791537500","4716450622550","404845547"
"2023/01/16","11750","350","3.07","11450","11800","11400","1206737","14020379400","4756935177250","404845547"
"2023/01/13","11400","100","0.88","11300","11400","11300","846398","9619467850","4615239235800","404845547"
"2023/01/12","11300","0","0.00","11300","11350","11250","504808","5703875200","4574754681100","404845547"
"2023/01/11","11300","0","0.00","11300","11300","11250","467486","5272486850","4574754681100","404845547"
"2023/01/10","11300","-50","-0.44","11350","11350","11250","428210","4843352450","4574754681100","404845547"
"2023/01/09","11350","100","0.89","11300","11350","11250","447954","5059242600","4594996958450","404845547"
"2023/01/06","11250","-100","-0.88","11350","11400","11250","532992","6040044700","4554512403750","404845547"
"2023/01/05","11350","100","0.89","11300","11350","11200","396953","4479620500","4594996958450","404845547"
"2023/01/04","11250","100","0.90","11150","11300","11150","574436","6463278750","4554512403750","404845547"
"2023/01/03","11150","50","0.45","11100","11200","11050","534031","5929914050","4514027849050","404845547"
"2023/01/02","11100","50","0.45","11050","11150","11000","590760","6563729000","4493785571700","404845547"
"2022/12/29","11050","-100","-0.90","11200","11200","11000","727090","8050312550","4473543294350","404845547"
"2022/12/28","11150","-350","-3.04","11200","11200","11100","1106280","12347203900","4514027849050","404845547"
"2022/12/27","11500","100","0.88","11400","11500","11350","2098278","23992546500","4655723790500","404845547"
"2022/12/26","11400","0","0.00","11350","11450","11300","973282","11090284050","4615239235800","404845547"
"2022/12/23","11400","-50","-0.44","11400","11450","11300","951032","10821280100","4615239235800","404845547"
"2022/12/22","11450","100","0.88","11350","11450","11350","635344","7258545900","4635481513150","404845547"
"2022/12/21","11350","50","0.44","11300","11350","11250","294747","3341296150","4594996958450","404845547"
"2022/12/20","11300","-50","-0.44","11300","11350","11250","496516","5610656250","4574754681100","404845547"
"2022/12/19","11350","100","0.89","11200","11350","11200","361266","4083898450","4594996958450","404845547"
"2022/12/16","11250","100","0.90","11050","11350","11050","1045910","11757078300","4554512403750","404845547"
"2022/12/15","11150","-100","-0.89","11200","11250","11100","771085","8605687900","4514027849050","404845547"
"2022/12/14","11250","50","0.45","11250","11250","11150","703156","7882101950","4554512403750","404845547"
"2022/12/13","11200","0","0.00","11150","11250","11150","544017","6085222400","4534270126400","404845547"
"2022/12/12","11200","-100","-0.88","11250","11300","11150","596000","6663272200","4534270126400","404845547"
"2022/12/09","11300","0","0.00","11300","11350","11200","660790","7450634300","4574754681100","404845547"
"2022/12/08","11300","0","0.00","11300","11350","11250","375784","4243414750","4574754681100","404845547"
"2022/12/07","11300","-50","-0.44","11300","11400","11250","492529","5568469450","4574754681100","404845547"
"2022/12/06","11350","50","0.44","11250","11350","11150","623119","7046607650","4594996958450","404845547"
"2022/12/05","11300","50","0.44","11300","11350","11200","493323","5555176100","4574754681100","404845547"
"2022/12/02","11250","-200","-1.75","11500","11500","11250","829355","9390769650","4554512403750","404845547"
"2022/12/01","11450","150","1.33","11450","11600","11400","1133385","13019801900","4635481513150","404845547"
"2022/11/30","11300","50","0.44","11250","11300","11150","390340","4391548550","4574754681100","404845547"
"2022/11/29","11250","100","0.90","11100","11250","11050","410730","4581795100","4554512403750","404845547"
"2022/11/28","11150","-100","-0.89","11300","11350","11100","504737","5647458850","4514027849050","404845547"
"2022/11/25","11250","150","1.35","11100","11300","11000","1006866","11275221550","4554512403750","404845547"
"2022/11/24","11100","50","0.45","11100","11150","11000","506061","5586687100","4493785571700","404845547"
"2022/11/23","11050","50","0.45","11050","11100","11000","543284","5998456700","4473543294350","404845547"
"2022/11/22","11000","0","0.00","11000","11100","10900","529679","5820242500","4453301017000","404845547"
"2022/11/21","11000","-150","-1.35","11150","11200","11000","687589","7587616950","4453301017000","404845547"
"2022/11/18","11150","-100","-0.89","11250","11300","11100","767344","8589035350","4514027849050","404845547"
"2022/11/17","11250","-100","-0.88","11300","11300","11200","389513","4387914950","4554512403750","404845547"
"2022/11/16","11350","-100","-0.87","11450","11500","11250","787138","8916273350","4594996958450","404845547"
"2022/11/15","11450","-50","-0.43","11500","11500","11400","432236","4952492800","4635481513150","404845547"
"2022/11/14","11500","50","0.44","11500","11600","11450","685704","7908911650","4655723790500","404845547"
"2022/11/11","11450","400","3.62","11300","11450","11200","1058092","12012332600","4635481513150","404845547"
"2022/11/10","11050","100","0.91","10950","11050","10900","607398","6665721450","4473543294350","404845547"
"2022/11/09","10950","0","0.00","11000","11100","10950","712459","7851295000","4433058739650","404845547"
"2022/11/08","10950","0","0.00","10950","11100","10950","322006","3539035800","4433058739650","404845547"
"2022/11/07","10950","-50","-0.45","10950","11050","10800","633950","6911208500","4433058739650","404845547"
"2022/11/04","11000","50","0.46","10950","11100","10900","726275","7969534000","4453301017000","404845547"
"2022/11/03","10950","-100","-0.90","10850","11000","10800","562519","6144202200","4433058739650","404845547"
"2022/11/02","11050","-200","-1.78","11250","11250","11000","933880","10331837750","4473543294350","404845547"
"2022/11/01","11250","200","1.81","11150","11300","11100","947650","10628121400","4554512403750","404845547"
