일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2022/12/23,455500,-16000,-3.39,464000,465500,455000,287228,131962336500,106587000000000,234000000
2022/12/26,457500,2000,0.44,454000,459500,454000,149013,68076804000,107055000000000,234000000
2022/12/27,457000,-500,-0.11,457500,460000,449500,231365,105297997500,106938000000000,234000000
2022/12/28,436500,-20500,-4.49,450500,450500,432500,446129,195654086000,102141000000000,234000000
2022/12/29,435500,-1000,-0.23,435500,442500,432500,265226,116156988000,101907000000000,234000000
2023/01/02,446000,10500,2.41,442000,455000,441500,250046,112200536500,104364000000000,234000000
2023/01/03,440500,-5500,-1.23,446000,449500,435000,218710,96276867000,103077000000000,234000000
2023/01/04,443000,2500,0.57,433000,445000,421000,291720,126337595500,103662000000000,234000000
2023/01/05,433500,-9500,-2.14,447000,450000,433000,291874,127989970000,101439000000000,234000000
2023/01/06,444000,10500,2.42,429500,444000,423000,294525,128669280000,103896000000000,234000000
2023/01/09,464000,20000,4.50,449500,465000,448500,395601,181412329500,108576000000000,234000000
2023/01/10,473500,9500,2.05,473500,484000,467000,608987,290488630500,110799000000000,234000000
2023/01/11,474500,1000,0.21,474000,478500,469000,254291,120479440000,111033000000000,234000000
2023/01/12,478000,3500,0.74,481000,482000,472000,287924,137505865000,111852000000000,234000000
2023/01/13,478000,0,0.00,479500,482000,475500,181006,86465535500,111852000000000,234000000
2023/01/16,480500,2500,0.52,478500,480500,475500,138434,66315916000,112437000000000,234000000
2023/01/17,458000,-22500,-4.68,478500,479000,454500,390507,181380141500,107172000000000,234000000
2023/01/18,458000,0,0.00,464000,467000,454500,282241,130109721155,107172000000000,234000000
2023/01/19,456000,-2000,-0.44,458000,463000,448000,271694,123204255120,106704000000000,234000000
2023/01/20,469500,13500,2.96,456500,471500,450500,266206,123339592500,109863000000000,234000000
2023/01/25,484000,14500,3.09,470000,484000,470000,366937,175885698000,113256000000000,234000000
2023/01/26,517000,33000,6.82,485500,520000,476500,686493,346739972500,120978000000000,234000000
2023/01/27,506000,-11000,-2.13,525000,526000,504000,459245,235054829000,118404000000000,234000000
2023/01/30,510000,4000,0.79,498500,515000,490000,1609558,805073696500,119340000000000,234000000
2023/01/31,521000,11000,2.16,504000,528000,501000,722845,374919075000,121914000000000,234000000
2023/02/01,522000,1000,0.19,527000,531000,518000,428384,224408197000,122148000000000,234000000
2023/02/02,533000,11000,2.11,529000,534000,522000,367389,193985112000,124722000000000,234000000
2023/02/03,535000,2000,0.38,533000,541000,530000,311193,166315331500,125190000000000,234000000
2023/02/06,525000,-10000,-1.87,530000,533000,521000,280165,147857568000,122850000000000,234000000
2023/02/07,542000,17000,3.24,520000,544000,520000,363799,195243248884,126828000000000,234000000
2023/02/08,546000,4000,0.74,545000,549000,542000,301262,164268456000,127764000000000,234000000
2023/02/09,550000,4000,0.73,544000,550000,540000,355020,194402279000,128700000000000,234000000
2023/02/10,542000,-8000,-1.45,547000,548000,535000,260831,141170994000,126828000000000,234000000
2023/02/13,522000,-20000,-3.69,536000,537000,522000,415228,219193153000,122148000000000,234000000
2023/02/14,525000,3000,0.57,526000,532000,520000,299950,157465524000,122850000000000,234000000
2023/02/15,527000,2000,0.38,531000,543000,526000,313034,167078299000,123318000000000,234000000
2023/02/16,549000,22000,4.17,534000,549000,531000,390488,212287373000,128466000000000,234000000
2023/02/17,533000,-16000,-2.91,540000,548000,529000,334707,179304631000,124722000000000,234000000
2023/02/20,516000,-17000,-3.19,534000,534000,511000,380832,197378477000,120744000000000,234000000
2023/02/21,520000,4000,0.78,517000,522000,511000,211255,109629544000,121680000000000,234000000
2023/02/22,508000,-12000,-2.31,507000,516000,504000,315931,160910240000,118872000000000,234000000
2023/02/23,507000,-1000,-0.20,511000,515000,504000,218469,111154528000,118638000000000,234000000
2023/02/24,511000,4000,0.79,508000,522000,507000,239646,123155230000,119574000000000,234000000
2023/02/27,508000,-3000,-0.59,507000,512000,499000,256666,129711824500,118872000000000,234000000
2023/02/28,523000,15000,2.95,516000,532000,515000,419180,219217798000,122382000000000,234000000
2023/03/02,535000,12000,2.29,520000,542000,516000,506812,269520155121,125190000000000,234000000
2023/03/03,538000,3000,0.56,539000,542000,533000,288004,154761915000,125892000000000,234000000
2023/03/06,547000,9000,1.67,545000,547000,533000,418951,226937278000,127998000000000,234000000
2023/03/07,566000,19000,3.47,548000,570000,543000,834010,467637853000,132444000000000,234000000
2023/03/08,562000,-4000,-0.71,559000,569000,551000,374233,209800603000,131508000000000,234000000
2023/03/09,549000,-13000,-2.31,564000,569000,545000,411910,227605558000,128466000000000,234000000
2023/03/10,551000,2000,0.36,537000,553000,534000,270554,148083400000,128934000000000,234000000
2023/03/13,563000,12000,2.18,554000,565000,549000,365145,204143750000,131742000000000,234000000
2023/03/14,548000,-15000,-2.66,560000,561000,545000,306944,168977756000,128232000000000,234000000
2023/03/15,565000,17000,3.10,551000,573000,549000,455274,256887128000,132210000000000,234000000
2023/03/16,576000,11000,1.95,561000,578000,558000,499942,285799756000,134784000000000,234000000
2023/03/17,553000,-23000,-3.99,579000,579000,550000,461982,258233384000,129402000000000,234000000
2023/03/20,544000,-9000,-1.63,546000,551000,537000,229510,124978455000,127296000000000,234000000
2023/03/21,546000,2000,0.37,549000,559000,545000,186781,102912731000,127764000000000,234000000
2023/03/22,573000,27000,4.95,557000,577000,555000,534061,303604190000,134082000000000,234000000
2023/03/23,575000,2000,0.35,568000,580000,566000,457612,262275906000,134550000000000,234000000
2023/03/24,569000,-6000,-1.04,577000,578000,556000,317648,179941076000,133146000000000,234000000
2023/03/27,574000,5000,0.88,588000,594000,572000,553025,322065675000,134316000000000,234000000
2023/03/28,577000,3000,0.52,578000,579000,566000,264318,151429356000,135018000000000,234000000
2023/03/29,583000,6000,1.04,578000,585000,577000,368772,213926175000,136422000000000,234000000
2023/03/30,588000,5000,0.86,587000,590000,576000,334990,196176021000,137592000000000,234000000
2023/03/31,584000,-4000,-0.68,582000,590000,571000,298469,174146403000,136656000000000,234000000
2023/04/03,586000,2000,0.34,588000,590000,577000,330892,193253021000,137124000000000,234000000
2023/04/04,575000,-11000,-1.88,586000,598000,572000,444861,260037886000,134550000000000,234000000
2023/04/05,588000,13000,2.26,575000,589000,574000,235578,137146113000,137592000000000,234000000
2023/04/06,580000,-8000,-1.36,587000,590000,578000,278416,162543489461,135720000000000,234000000
2023/04/07,580000,0,0.00,581000,590000,579000,366225,213290884200,135720000000000,234000000
2023/04/10,596000,16000,2.76,587000,598000,584000,597900,355210158000,139464000000000,234000000
2023/04/11,610000,14000,2.35,600000,613000,596000,811886,492488124000,142740000000000,234000000
2023/04/12,590000,-20000,-3.28,608000,610000,588000,541299,322813295000,138060000000000,234000000
2023/04/13,599000,9000,1.53,581000,599000,575000,386450,228204204000,140166000000000,234000000
2023/04/14,594000,-5000,-0.83,603000,604000,586000,339843,201420815000,138996000000000,234000000
2023/04/17,591000,-3000,-0.51,588000,593000,584000,276643,162891053000,138294000000000,234000000
2023/04/18,592000,1000,0.17,593000,598000,586000,247157,146511079000,138528000000000,234000000
2023/04/19,582000,-10000,-1.69,593000,593000,581000,300756,175826274000,136188000000000,234000000
2023/04/20,580000,-2000,-0.34,582000,586000,575000,247483,143445944000,135720000000000,234000000
2023/04/21,572000,-8000,-1.38,577000,578000,563000,267430,152830791000,133848000000000,234000000
2023/04/24,566000,-6000,-1.05,566000,575000,563000,189996,107862883000,132444000000000,234000000
2023/04/25,551000,-15000,-2.65,570000,575000,548000,328253,182487896000,128934000000000,234000000
2023/04/26,567000,16000,2.90,551000,572000,550000,296105,166642321000,132678000000000,234000000
2023/04/27,587000,20000,3.53,573000,588000,567000,463287,269684668000,137358000000000,234000000
